Time,Current Angle,Motor Speed,Target Angle
0.00012493133544921875,1876,0,0.0062465667724609375
0.012744426727294922,1876,0,0.6372213363647461
0.01893472671508789,1876,0,0.9467363357543945
0.02419900894165039,1876,-2,1.2099504470825195
0.03021073341369629,1876,-14,1.5105366706848145
0.03649330139160156,1875,-14,1.8246650695800781
0.0425868034362793,1874,-17,2.129340171813965
0.048346519470214844,1873,-29,2.417325973510742
0.053858041763305664,1873,-172,2.692902088165283
0.060027360916137695,1871,-163,3.0013680458068848
0.06544947624206543,1869,-236,3.2724738121032715
0.0714578628540039,1867,-308,3.5728931427001953
0.08612871170043945,1863,-379,4.306435585021973
0.0976111888885498,1857,-439,4.88055944442749
0.1096644401550293,1851,-510,5.483222007751465
0.12248992919921875,1844,-542,6.1244964599609375
0.13519525527954102,1837,-606,6.759762763977051
0.14621353149414062,1831,-621,7.310676574707031
0.1521289348602295,1827,-641,7.606446743011475
0.15755057334899902,1823,-665,7.877528667449951
0.1635885238647461,1818,-689,8.179426193237305
0.1697707176208496,1814,-705,8.48853588104248
0.17492914199829102,1809,-717,8.74645709991455
0.18081116676330566,1805,-731,9.040558338165283
0.18735980987548828,1801,-742,9.367990493774414
0.1932814121246338,1796,-764,9.66407060623169
0.19953322410583496,1791,-781,9.976661205291748
0.20461225509643555,1787,-792,10.230612754821777
0.2105693817138672,1781,-797,10.52846908569336
0.2162027359008789,1779,-811,10.810136795043945
0.22224760055541992,1773,-820,11.112380027770996
0.22763586044311523,1768,-835,11.381793022155762
0.23355603218078613,1763,-851,11.677801609039307
0.2404954433441162,1756,-845,12.02477216720581
0.24600911140441895,1753,-862,12.300455570220947
0.25200462341308594,1747,-866,12.600231170654297
0.25748634338378906,1742,-883,12.874317169189453
0.2633812427520752,1737,-893,13.16906213760376
0.2696099281311035,1731,-895,13.480496406555176
0.27466702461242676,1726,-894,13.733351230621338
0.2806410789489746,1721,-911,14.03205394744873
0.28627467155456543,1717,-921,14.313733577728271
0.2959575653076172,1708,-920,14.79787826538086
0.30638694763183594,1698,-939,15.319347381591797
0.3176710605621338,1683,-938,15.88355302810669
0.3328979015350342,1672,-949,16.64489507675171
0.3403804302215576,1666,-953,17.01902151107788
0.34622621536254883,1661,-953,17.31131076812744
0.35224390029907227,1655,-964,17.612195014953613
0.3576793670654297,1647,-965,17.883968353271484
0.36371517181396484,1643,-970,18.185758590698242
0.3735044002532959,1633,-970,18.675220012664795
0.37970948219299316,1627,-968,18.985474109649658
0.3849046230316162,1621,-973,19.24523115158081
0.39198803901672363,1615,-983,19.59940195083618
0.39745044708251953,1610,-982,19.872522354125977
0.4034543037414551,1604,-984,20.172715187072754
0.40965867042541504,1598,-986,20.482933521270752
0.41475605964660645,1592,-985,20.737802982330322
0.4207463264465332,1586,-992,21.03731632232666
0.42630600929260254,1582,-997,21.315300464630127
0.4322502613067627,1576,-989,21.612513065338135
0.4376809597015381,1568,-991,21.884047985076904
0.4445619583129883,1562,-991,22.228097915649414
0.4505889415740967,1556,-995,22.529447078704834
0.4561448097229004,1552,-999,22.80724048614502
0.46225953102111816,1546,-999,23.112976551055908
0.46767449378967285,1538,-996,23.383724689483643
0.4737052917480469,1534,-1005,23.685264587402344
0.4799320697784424,1528,-1004,23.99660348892212
0.48534417152404785,1522,-1006,24.267208576202393
0.4920504093170166,1516,-1005,24.60252046585083
0.4975924491882324,1510,-1006,24.87962245941162
0.5035204887390137,1504,-1010,25.176024436950684
0.5097389221191406,1498,-1011,25.48694610595703
0.5149250030517578,1492,-1009,25.74625015258789
0.520827054977417,1485,-1014,26.04135274887085
0.5264678001403809,1479,-1016,26.323390007019043
0.5324454307556152,1473,-1016,26.62227153778076
0.5378599166870117,1467,-1012,26.892995834350586
0.5448863506317139,1461,-1018,27.244317531585693
0.5507867336273193,1455,-1019,27.539336681365967
0.5563523769378662,1451,-1022,27.81761884689331
0.5622973442077637,1445,-1021,28.114867210388184
0.5677282810211182,1437,-1016,28.386414051055908
0.5736546516418457,1433,-1019,28.682732582092285
0.5798664093017578,1427,-1022,28.99332046508789
0.5854430198669434,1421,-1024,29.272150993347168
0.591480016708374,1414,-1025,29.5740008354187
0.5977284908294678,1406,-1025,29.88642454147339
0.6038298606872559,1402,-1030,30.191493034362793
0.6100497245788574,1396,-1024,30.50248622894287
0.6154839992523193,1389,-1026,30.774199962615967
0.6216440200805664,1383,-1030,31.08220100402832
0.6268198490142822,1377,-1029,31.34099245071411
0.6328065395355225,1371,-1025,31.640326976776123
0.6392302513122559,1365,-1028,31.961512565612793
0.6454458236694336,1359,-1026,32.27229118347168
0.6514911651611328,1353,-1032,32.57455825805664
0.6566371917724609,1347,-1028,32.83185958862305
0.6625831127166748,1341,-1027,33.12915563583374
0.6683835983276367,1334,-1025,33.419179916381836
0.67405104637146,1330,-1026,33.702552318573
0.6801390647888184,1324,-1028,34.00695323944092
0.6856627464294434,1318,-1025,34.28313732147217
0.6915969848632812,1311,-1027,34.57984924316406
0.705336332321167,1297,-1024,35.26681661605835
0.7114825248718262,1291,-1022,35.57412624359131
0.7167026996612549,1285,-1026,35.835134983062744
0.7227990627288818,1279,-1022,36.13995313644409
0.7292294502258301,1273,-1024,36.461472511291504
0.7346081733703613,1267,-1022,36.730408668518066
0.7405786514282227,1260,-1026,37.02893257141113
0.7468435764312744,1254,-1025,37.34217882156372
0.7527940273284912,1248,-1028,37.63970136642456
0.7592451572418213,1242,-1028,37.962257862091064
0.764509916305542,1236,-1027,38.2254958152771
0.7704646587371826,1229,-1025,38.52323293685913
